證券代號,證券名稱,殖利率(%),股利年度,本益比,股價淨值比,財報年/季
2538,基泰            ,9.85,105,-,0.56,106/1
2539,櫻花建          ,8.93,105,9.09,1.77,106/1
2540,愛山林          ,0,105,15.64,1.01,106/1
2542,興富發          ,9.92,105,14.87,1.64,106/1
2543,皇昌            ,3.31,105,21.55,0.83,106/1
2545,皇翔            ,10.54,105,7.58,1.19,106/1
2546,根基            ,8.02,105,10.22,0.87,106/1
2547,日勝生          ,0,105,-,1.45,106/1
2548,華固            ,7.94,105,7.72,1.31,106/1
2597,潤弘            ,10.35,105,8.19,1.33,106/1
2601,益航            ,0,105,-,0.6,106/1
2603,長榮            ,0,105,-,1.16,106/1
2605,新興            ,3.43,105,23.45,0.73,106/1
2606,裕民            ,2.36,105,-,1.21,106/1
2607,榮運            ,2.52,105,18.78,0.7,106/1
2608,大榮            ,3.93,105,15.51,2.2,106/1
2609,陽明            ,0,105,-,1.3,106/1
2610,華航            ,0,105,-,0.99,106/1
2611,志信            ,0,105,-,0.48,106/1
2612,中航            ,1.86,105,-,0.56,106/1
2613,中櫃            ,2.05,105,39.85,0.48,106/1
2614,東森            ,0,105,13.91,1.32,106/1
2615,萬海            ,2.23,105,44.75,1.22,106/1
2616,山隆            ,5.99,105,6.73,1.17,106/1
2617,台航            ,0,105,-,0.62,106/1
2618,長榮航          ,3.29,105,37.07,1.17,106/1
2633,台灣高鐵        ,2.38,105,30.42,2.27,106/1
2634,漢翔            ,3.93,105,18.56,2.55,106/1
2636,台驊投控        ,3.57,105,17.36,1.21,106/1
2637,慧洋-KY         ,3.27,105,28.6,0.65,106/1
2642,宅配通          ,1.85,105,27.36,1.4,106/1
2701,萬企            ,5.38,105,16.61,0.84,106/1
2702,華園            ,3.29,105,32.92,1.37,106/1
2704,國賓            ,2.99,105,20.35,0.9,106/1
2705,六福            ,0,105,-,0.63,106/1
2706,第一店          ,6.01,105,15.71,0.93,106/1
2707,晶華            ,5.01,105,22.18,5.44,106/1
2712,遠雄來          ,1.99,105,61.22,2.07,106/1
2722,夏都            ,2.66,105,31.03,2.25,106/1
2723,美食-KY         ,1.5,105,26.68,5.64,106/1
2727,王品            ,1.96,105,36.96,3.84,106/1
2731,雄獅            ,3.72,105,27.92,3.5,106/1
2739,寒舍            ,6.24,105,14.94,1.91,106/1
2748,雲品            ,3.74,105,22.6,3.7,106/1
2801,彰銀            ,5.27,105,13.53,1.12,106/1
2809,京城銀          ,4.69,105,7.46,1.07,106/1
2812,台中銀          ,7.09,105,9.14,0.78,106/1
2816,旺旺保          ,0,105,11.83,0.85,106/1
2820,華票            ,5.64,105,13.67,0.87,106/1
2823,中壽            ,5.3,105,16.35,1.39,106/1
2832,台產            ,4.75,105,11.77,0.84,106/1
2834,臺企銀          ,4.72,105,9.53,0.7,106/1
2836,高雄銀          ,6.01,105,14.9,0.69,106/1
2838,聯邦銀          ,4.84,105,9.11,0.66,106/1
2841,台開            ,0,105,33.03,0.46,106/1
2845,遠東銀          ,6.63,105,9.81,0.73,106/1
2849,安泰銀          ,4.67,105,14.44,0.7,106/1
2850,新產            ,5.93,105,7.55,0.91,106/1
2851,中再保          ,3.39,105,8.68,0.84,106/1
2852,第一保          ,4.66,105,8.16,0.76,106/1
2855,統一證          ,2.88,105,13.97,0.81,106/1
2856,元富證          ,1.23,105,26.26,0.61,106/1
2867,三商壽          ,5.84,105,17.7,0.84,106/1
2880,華南金          ,6.84,105,14.5,1.15,106/1
2881,富邦金          ,4.25,105,10.31,1.17,106/1
2882,國泰金          ,4,105,13.37,1.25,106/1
2883,開發金          ,5.88,105,18.91,0.75,106/1
2884,玉山金          ,6.54,105,12.53,1.25,106/1
2885,元大金          ,3.31,105,12.25,0.79,106/1
2886,兆豐金          ,5.57,105,15.64,1.16,106/1
2887,台新金          ,6.86,105,13.33,0.96,106/1
2888,新光金          ,2.45,105,18.16,0.66,106/1
2889,國票金          ,7.38,105,12.82,0.81,106/1
2890,永豐金          ,7.33,105,12.72,0.74,106/1
2891,中信金          ,4.93,105,12.53,1.36,106/1
2892,第一金          ,6.91,105,14.06,1.25,106/1
2897,王道銀行        ,4.79,105,13.62,0.76,106/1
2901,欣欣            ,1.58,105,57.38,2.03,106/1
2903,遠百            ,4.43,105,20.79,0.76,106/1
2904,匯僑            ,6.22,105,17.09,1.58,106/1
2905,三商            ,6.51,105,11.88,1.03,106/1
2906,高林            ,3.56,105,37.5,0.79,106/1
2908,特力            ,4.78,105,16.99,1.51,106/1
2910,統領            ,1.79,105,112,2.16,106/1
2911,麗嬰房          ,0,105,-,0.83,106/1
2912,統一超          ,2.94,105,27.93,9.09,106/1
2913,農林            ,3.06,105,16.68,0.76,106/1
2915,潤泰全          ,1.8,105,6.91,1.92,106/1
2923,鼎固-KY         ,1.78,105,15.54,0.72,106/1
2929,淘帝-KY         ,4.37,105,10.11,1.83,106/1
2936,客思達-KY       ,9.18,105,9.55,1.06,106/1
3002,歐格            ,3.44,105,18.65,1.18,106/1
3003,健和興          ,3.04,105,19.03,1.78,106/1
3004,豐達科          ,2.98,105,13.44,1.84,106/1
3005,神基            ,7.33,105,10.57,1.7,106/1
3006,晶豪科          ,4.05,105,16.89,1.34,106/1
3008,大立光          ,1.17,105,30.36,9.09,106/1
3010,華立            ,5.13,105,11.71,1.17,106/1
3011,今皓            ,0,105,75.5,0.69,106/1
3013,晟銘電          ,2.56,105,13.93,1.5,106/1
3014,聯陽            ,8.75,105,14.02,1.33,106/1
3015,全漢            ,6.38,105,15.88,0.58,106/1
3016,嘉晶            ,0,105,216,1.94,106/1
3017,奇鋐            ,4.6,105,10.61,1.14,106/1
3018,同開            ,0.46,105,130.14,3.92,106/1
3019,亞光            ,1.89,105,43.09,1.4,106/1
3021,鴻名            ,5.09,105,12.5,1.18,106/1
3022,威強電          ,6.51,105,10.77,1.88,106/1
